Test,Total Data Transfered (bytes),Total Time Taken (ms),Avg Latency (ms),Avg Throughput (bytes/sec)
1,1250,47.495263,1.09766,"26318.41 "
2,1250,49.147697,965.621µs,25433.54
3,1250,50.210648,1.135652,24895.12
4,1250,88.785472,1.836884,14078.88
5,1250,36.764395,859.082µs,34000.29
6,1250,103.601368,2.135997,12065.48
7,1250,76.619777,1.656404,16314.33
8,1250,59.520376,1.074203,21001.21
9,1250,60.892167,1.206224,20528.09
10,1250,123.075923,2.858241,10156.33
11,1250,54.059633,1.119229,23122.61
12,1250,113.253089,2.516282,11037.23
13,1250,80.694813,1.89409,15490.46
14,1250,61.825506,1.194647,20218.19
15,1250,146.54494,2.830252,8529.81
16,1250,48.791242,1.055375,25619.35
17,1250,77.542001,1.55402,16120.30
18,1250,56.466576,1.24961,22136.99
19,1250,119.59656,2.29695,10451.81
20,1250,44.402985,858.307µs,28151.26